0.695	0.976
-2.218	-0.875
-0.33	-0.956
-1.8	0.904
3.077	-0.626
1.089	0.923
-1.045	0.929
-2.244	-0.845
-3.208	-0.547
-0.125	-1.046
3.825	-0.333
-2.02	-0.841
-3.547	-0.466
-1.981	0.851
-2.172	-0.856
-3.674	0.381
2.986	-0.616
-0.163	1.038
0.195	-1.039
1.644	0.954
3.248	-0.579
-2.737	0.739
2.257	-0.866
-0.23	0.952
-3.798	0.278
-2.764	-0.772
-3.977	-0.075
-3.517	-0.468
0.034	-1.012
-0.526	-1.019
2.892	-0.734
-0.964	-0.965
0.694	0.992
-1.617	-0.914
2.583	-0.787
-0.339	1.003
0.286	-1.013
1.928	-0.859
-3.149	-0.635
2.276	0.85
-2.062	0.887
1.156	-0.988
3.315	0.596
-2.963	-0.702
2.473	-0.74
2.309	0.855
2.44	0.838
0.991	-0.999
0.932	0.929
3.392	0.533
-1.951	-0.879
0.311	1.03
0.555	-0.987
-3.216	0.587
1.042	-0.952
0.17	0.955
-2.185	-0.877
-2.235	0.791
-3.913	-0.246
-2.89	-0.738
-2.958	-0.682
1.506	-0.894
-2.598	-0.803
3.706	0.381
3.131	-0.608
-2.105	-0.861
2.323	0.78
0.327	-0.956
3.374	0.534
3.98	-0.122
-0.593	-0.954
1.975	-0.917
-0.669	0.952
2.191	0.8
1.748	0.852
-0.836	-1.004
-3.594	0.393
1.198	-0.939
-2.205	0.848
-0.581	-1.025
0.07	1.014
1.848	0.921
-1.634	-0.948
-0.101	-1.035
1.281	0.941
1.057	-0.959
2.892	0.654
-1.512	0.96
-3.936	0.221
3.957	-0.14
3.29	-0.521
-1.956	0.911
1.646	-0.861
3.918	-0.213
1.284	-0.924
-0.432	1.042
3.342	0.596
-2.615	-0.709
1.843	-0.868
-1.618	0.892
-0.195	-1.005
3.125	0.62
-0.791	-1.024
-0.742	0.989
-0.235	-1.006
-0.692	1.01
0.155	0.95
2.547	0.746
2.963	-0.652
-2.457	-0.765
1.117	-0.968
3.428	-0.479
0.539	-0.941
-1.939	0.894
-3.388	0.516
-3.521	0.45
-2.886	-0.716
-2.356	0.776
1.095	-0.925
0.139	-0.999
2.156	0.822
-0.149	-0.988
2.023	-0.884
3.741	0.362
3.934	-0.143
-1.762	0.922
0.848	1.022
-2.331	-0.857
-1.738	-0.897
3.034	-0.634
-1.344	0.931
-3.446	-0.487
3.026	-0.696
-3.093	0.648
-1.753	0.946
-0.84	1.011
-1.907	0.925
-2.972	-0.688
-2.481	-0.815
0.376	-0.986
2.377	0.839
0.471	0.955
-1.73	0.875
-1.472	-0.896
-3.927	-0.231
0.774	-0.937
-1.191	0.935
0.204	-0.994
-2.275	-0.776
-2.088	0.808
-2.421	-0.804
2.541	-0.797
3.363	0.571
-1.393	0.907
1.702	0.934
-2.336	0.822
3.211	0.56
3.96	0.148
-2.488	-0.783
-1.246	-0.924
1.66	-0.885
0.612	0.996
-3.007	-0.649
2.882	0.648
3.701	0.349
-2.089	0.844
-1.613	-0.901
-3.592	-0.415
2.774	-0.737
1.918	-0.836
-2.31	0.84
1.46	0.892
-2.209	-0.823
-0.154	-0.991
1.294	0.95
-2.376	0.759
3.704	-0.38
-0.917	-0.934
2.471	-0.774
1.002	-1.006
0.229	2.295
-0.107	7.382
-0.315	3.27
0.106	1.8
-0.244	2.677
0.225	6.689
0.233	2.555
-0.14	7.356
-0.251	2.392
-0.288	3.475
-0.292	3.425
-0.312	5.58
-0.349	4.053
0.044	1.619
-0.316	3.428
0.336	3.926
-0.357	4.586
0.334	5.437
-0.291	5.795
0.174	7.244
-0.251	2.848
0.257	2.863
-0.12	1.857
0.301	5.37
0.31	3.802
-0.308	4.836
-0.322	3.623
-0.311	4.083
-0.329	3.634
-0.326	5.074
-0.241	6.492
-0.314	4.636
0.195	2.294
-0.302	3.983
-0.332	4.183
0.307	5.261
-0.333	3.886
-0.065	7.528
-0.269	6.451
0.143	1.876
0.072	7.538
-0.226	6.756
0.342	4.915
-0.328	4.637
-0.349	4.073
0.337	3.909
0.313	6.04
-0.328	4.591
0.237	6.532
0.308	4.992
-0.335	3.649
0.308	5.911
-0.263	6.155
0.285	6.384
-0.241	2.642
0.288	5.77
-0.101	7.415
0.291	3.365
-0.304	3.687
-0.237	2.71
-0.349	4.642
-0.19	7.106
-0.182	7.002
0.281	3.306
-0.224	6.731
-0.101	7.495
0.29	5.923
-0.315	5.927
0.302	2.974
-0.316	3.58
-0.292	3.007
-0.021	7.575
0.201	6.931
0.294	5.791
0.112	7.348
-0.332	4.764
0.306	4.006
-0.323	4.798
0.294	3.395
-0.272	3.019
0.3	5.67
0.329	5.448
-0.287	5.966
-0.308	5.499
0.236	6.881
-0.223	6.657
0.225	2.492
0.337	4.088
0.086	1.664
-0.294	3.557
-0.297	2.89
0.071	1.644
-0.351	5.246
-0.324	3.518
-0.214	6.884
0.35	5.168
0.23	6.942
-0.354	4.985
-0.303	3.443
0.165	1.982
-0.325	3.405
0.281	2.725
-0.248	2.809
0.2	6.858
-0.146	7.365
0.332	4.908
0.284	5.755
0.286	6.147
-0.247	6.563
-0.327	5.143
-0.35	4.717
-0.341	5.028
-0.311	6.139
0.306	5.661
0.211	2.212
0.181	2.079
-0.26	2.714
0.319	5.244
-0.27	2.695
-0.125	1.739
